Stations,Total Crimes,Notes,Theft & Robbery,Assault & Battery,Other,Ranking
"Belmont - Brown, Purple, Red",152,4 reports of criminal sexual assault ,89,57,6,1
Washington - Blue,149,,102,43,4,2
"Roosevelt - Green, Orange, Red",144,,95,42,7,3
"Clark/Lake - Blue, Brown, Green, Orange, Pink, Purple",109,,90,16,3,4
Lake - Red,99,,73,26,0,5
Chicago - Red,95,,71,22,2,6
Addison - Red,92,,54,36,2,7
Pulaski - Blue,78,,53,25,0,8
95th/Dan Ryan - Red,76,,47,27,1,9
Grand - Red,73,,62,7,4,10
79th - Red,72,,51,20,1,11
Monroe - Red,62,,43,18,1,12
"Howard - Purple, Red, Yellow",61,,40,20,1,13
Sox-35th - Red,59,,33,26,0,14
Damen - Blue,59,,36,23,0,14
Cicero - Blue,59,,42,16,1,14
"Sedgwick - Brown, Purple",57,,34,21,2,17
King Drive - Green,53,,23,28,2,18
Central Park - Pink,53,,44,9,0,18
69th - Red,52,,37,15,0,20
Garfield - Red,48,,33,14,1,21
Western - Blue,47,,25,20,2,22
Division - Blue,46,,31,13,2,23
Jackson - Blue,42,,31,10,1,24
Kedzie-Homan - Blue,41,,30,11,0,25
Berwyn - Red,41,,,,,25
Jackson - Red,39,,,,,27
Clark/Division - Red,39,,,,,27
Loyola - Red,36,,,,,29
Logan Square - Blue,35,,,,,30
"Fullerton - Brown, Purple, red",35,,,,,30
Jarvis - Red,33,,,,,32
Harrison - Red,33,,,,,32
"Clinton - Green, Pink",33,,,,,32
"Ashland - Green, Pink",32,,,,,35
51st - Green,31,,,,,36
"47th - Green, Red",31,,,,,36
Jefferson Park - Blue,30,,,,,38
Argyle - Red,29,,,,,39
"Wilson - Purple, Red",28,,,,,40
"Randolph/Wabash - Brown, Orange, Pink, Purple",28,,,,,40
63rd - Red,28,,,,,40
Indiana - Green,27,,,,,43
Bryn Mawr - Red,27,,,,,43
"Harold Washington Library-State/Van Buren - Brown, Orange, Pink, Purple",26,,,,,45
Clinton - Blue,25,,,,,46
Thorndale - Red,22,,,,,47
Central - Green,22,,,,,47
Ashland/63rd - Green,22,,,,,47
"Adams/Wabash - Brown, Green, Orange, Pink, Purple",22,,,,,47
47th - Red,22,,,,,47
O'Hare - Blue,20,,,,,52
Cermak-Chinatown - Red,20,,,,,52
"Sheridan - Purple, Red",19,,,,,54
Pulaski - Green,19,,,,,54
87th - Red,19,,,,,54
Western - Orange,18,,,,,57
"Merchandise Mart - Brown, Purple",18,,,,,57
Garfield - Green,18,,,,,57
Morse - Red,17,,,,,60
Belmont - Blue,17,,,,,60
"Washington/Wells - Brown, Orange, Pink, Purple",16,,,,,62
Racine - Blue,16,,,,,62
Monroe - Blue,15,,,,,64
"Chicago - Brown, Purple",15,,,,,64
UIC-Halsted - Blue,14,,,,,66
"Quincy/Wells - Brown, Orange, Pink, Purple",14,,,,,66
Harlem - Blue,14,,,,,66
Halsted - Green,14,,,,,66
"Armitage - Brown, Purple",14,,,,,66
35th-Bronzeville-IIT - Green,14,,,,,66
"LaSalle/Van Buren - Brown, Orange, Pink, Purple",13,,,,,72
Austin - Green,13,,,,,72
Laramie - Green,12,,,,,74
Kimball - Brown,12,,,,,74
Cottage Grove - Green ,12,,,,,74
35th/Archer - Orange,12,,,,,74
"Morgan - Green, Pink",11,,,,,78
Midway - Orange,11,,,,,78
Cicero - Green,11,,,,,78
Lawrence - Red,10,,,,,81
LaSalle - Blue,10,,,,,81
Halsted - Orange,10,,,,,81
43rd - Green,10,,,,,81
Pulaski - Orange,9,,,,,85
Kostner - Pink,9,,,,,85
Kedzie - Pink,9,,,,,85
Irving Park - Blue,9,,,,,85
Damen - Pink,9,,,,,85
Chicago - Blue,9,,,,,85
California - Pink,9,,,,,85
Kedzie - Orange,8,,,,,92
Grand - Blue,8,,,,,92
"Diversey - Brown, Purple",8,,,,,92
Conservatory - Green,8,,,,,92
Pulaski - Pink,7,,,,,96
Montrose - Blue,7,,,,,96
Cumberland - Blue,7,,,,,96
Kedzie - Green,6,,,,,99
Granville - Red,6,,,,,99
California - Blue,6,,,,,99
Western - Pink,5,,,,,102
Western - Brown,5,,,,,102
Montrose - Brown,5,,,,,102
Illinois Medical District - Blue,5,,,,,102
Cottage Grove - Green,5,,,,,102
Cermak-McCormick Place - Green,5,,,,,102
"Wellington - Brown, Purple",4,,,,,108
"Randolph/Wabash - Brown, Green, Orange, Pink, Purple",4,,,,,108
Damen - Brown,4,,,,,108
California - Green,4,,,,,108
Kedzie - Blue,3,,,,,112
Addison - Brown,3,,,,,112
18th - Pink,3,,,,,112
Southport - Brown,2,,,,,115
Rockwell - Brown,2,,,,,115
Polk - Pink,2,,,,,115
Kedzie - Green,2,,,,,115
Kedzie - Brown,2,,,,,115
Irving Park - Brown,2,,,,,115
Clark/Division - Red ,2,,,,,115
California - Green,2,,,,,115
35/Archer - Orange,2,,,,,115
Rosemont - Blue,1,,,,,124
Kostner - Orange,1,,,,,124
Howard - Red,1,,,,,124
"Diversey - Brown, Purplr",1,,,,,124
Cermak-McCormick Place - Green,1,,,,,124
Ashland - Orange,1,,,,,124
Addison - Blue,1,,,,,124
,1,,,,,
